"about","industry","location","logo","name","size","website link","unique id"
"Astract9 Designs is a budding creative solutions company with specializations in Enterprise Solutions, Digital Marketing, and Creative Consultancy.

We utilize creative tools and new media technology to improve and expand market brands, personalities, and businesses; creating brand identity, building and maintaining reputation/relationships whilst engaging the specified target audience to expand the reach of the client’s network.","Information Technology Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Astract9 Designs","1-10 employees","http://www.astract.com/","1652013242864x553498240056033300"
"Plato is a regulatory technology and corporate data management platform that helps companies establish trust with partners, clients, regulators, and banks. We help businesses manage and control their corporate profile, onboard new clients, and comply with regulations.","Information Technology Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Project Plato","11-50 employees","http://bigplato.tilda.ws/","1652014042874x211615848971632640"
"","Banking","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Polaris Bank Limited","10,001+ employees","www.polarisbanklimited.com","1652077030861x608900427235983400"
"Dunn and Braxton helps businesses optimize productivity by accessing dynamic teams of top talents at reduced costs. We will help your organization reduce risks, save costs and ensure compliance with Federal and State laws. This way, you are able to focus on your core to innovate and succeed. We Support Small, Mid-Size and Large Organisations","Management Consulting","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","DunnandBraxton","11-50 employees","https://dunnandbraxton.com.ng/","1652268317516x171866536958492670"
"At Pariti, we are making the world a more equitable place by evolving and growing underserved markets. We help businesses in underserved markets overcome the hurdles of accessing capital, hiring talent, and expanding beyond their borders by connecting them with handpicked experts on our platform that will not only advise but do the work to achieve their goals.","Internet","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Pariti","1-10 employees","http://www.pariti.io/","1652268821533x800335457243627500"
"","Banking","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","OPay Nigeria ","501-1000 employees","Www.Opay.com","1652381487210x497240081566007300"
"","Arts & Crafts","Enugu, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","pixblocks","51-200 employees","pixblocks.com","1654258048043x407293692431826940"
"","Marketing & Advertising","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","SD-6 Consortium","1-10 employees","https://sd-6consortium.ml","1657219297647x682297252188520400"
"Prospa is a bank for Nigerian entrepreneurs. We're building the financial operating system for African entrepreneurs and businesses. Using our intuitive and beautifully designed mobile and web application, entrepreneurs are able to manage all their business and banking in one place.

We are backed by Y Combinator, and some of the most well respected and prolific investors, builders and operators in the US, Africa and Europe like Immad Akund (CEO @ mercury.com), Microtraction and many others.","Financial Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Prospa","51-200 employees","https://getprospa.com/","1659517286442x583656554085744600"
"Traction Apps is a one stop platform for small businesses to accept payments, run their businesses and access capital for growth, We are building the operating system for SMEs in Africa!","Information Technology Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Traction Apps","51-200 employees","http://www.tractionapps.co","1660059736925x594726079440879600"
"Bridging the gap between talents and Employers. We manage recruitment process, from need identification to job specification through to interviewing and hiring selected candidates, Outsourcing and Training","Human Resources","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","DOAH ENTERPRISE","1-10 employees","","1660429122554x496351065649446900"
"","Agriculture/Farming","Oyo, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Farmsquare","1-10 employees","www.farmsquare.ng","1660466911376x769991307650138100"
"","Telecommunications","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","FBIS","51-200 employees","fbistech.com","1660494190129x769241161338191900"
"The BMGA Foundation is the primary philanthropic arm of BMGA Enterprise Limited (BMGA). The Foundation’s work is guided by its mission to encourage inclusivity and gender balance in the business environment.","Non-Profit Organisation","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","BMGA Foundation","1-10 employees","https://bmgaenterprise.com/","1661250293067x102193738561880060"
